"SYS_AUDIT_ID","TABLE_TO_AUDIT","AUDIT_TABLE","AUDITABLE"
1,"XHB_CLOB","AUD_CLOB","Y"
2,"XHB_BLOB","AUD_BLOB","Y"
3,"XHB_ADDRESS","AUD_ADDRESS","Y"
4,"XHB_CASE","AUD_CASE","Y"
5,"XHB_CC_INFO","AUD_CC_INFO","Y"
6,"XHB_COURT","AUD_COURT","Y"
7,"XHB_COURT_ROOM","AUD_COURT_ROOM","Y"
8,"XHB_COURT_SITE","AUD_COURT_SITE","Y"
9,"XHB_FORMATTING","AUD_FORMATTING","Y"
10,"XHB_HEARING","AUD_HEARING","Y"
11,"XHB_HEARING_LIST","AUD_HEARING_LIST","Y"
12,"XHB_REF_COURT","AUD_REF_COURT","Y"
13,"XHB_REF_COURT_REPORTER","AUD_REF_COURT_REPORTER","Y"
14,"XHB_REF_COURT_REPORTER_FIRM","AUD_REF_COURT_REPORTER_FIRM","Y"
15,"XHB_REF_HEARING_TYPE","AUD_REF_HEARING_TYPE","Y"
16,"XHB_REF_JUDGE","AUD_REF_JUDGE","Y"
17,"XHB_REF_JUSTICE","AUD_REF_JUSTICE","Y"
18,"XHB_REF_LEGAL_REPRESENTATIVE","AUD_REF_LEGAL_REPRESENTATIVE","Y"
19,"XHB_REF_SOLICITOR_FIRM","AUD_REF_SOLICITOR_FIRM","Y"
20,"XHB_REF_SYSTEM_CODE","AUD_REF_SYSTEM_CODE","Y"
21,"XHB_SCHEDULED_HEARING","AUD_SCHEDULED_HEARING","Y"
22,"XHB_SCHED_HEARING_ATTENDEE","AUD_SCHED_HEARING_ATTENDEE","Y"
23,"XHB_SCHED_HEARING_DEFENDANT","AUD_SCHED_HEARING_DEFENDANT","Y"
24,"XHB_SH_JUDGE","AUD_SH_JUDGE","Y"
25,"XHB_SH_JUSTICE","AUD_SH_JUSTICE","Y"
26,"XHB_SH_LEG_REP","AUD_SH_LEG_REP","Y"
27,"XHB_SH_STAFF","AUD_SH_STAFF","Y"
28,"XHB_SITTING","AUD_SITTING","Y"
29,"XHB_LIST","AUD_LIST","Y"
30,"XHB_REF_MONITORING_CATEGORY","AUD_REF_MONIROTING_CATEGORY","Y"
31,"XHB_CASE_LISTING_ENTRY","AUD_CASE_LISTING_ENTRY","Y"
32,"XHB_REF_LISTING_DATA","AUD_REF_LISTING_DATA","Y"
33,"XHB_CASE_DIARY_FIXTURE","AUD_CASE_DIARY_FIXTURE","Y"
34,"XHB_CASE_ON_LIST","AUD_CASE_ON_LIST","Y"
35,"XHB_SITTING_ON_LIST","AUD_SITTING_ON_LIST","Y"
36,"XHB_CPP_LIST","AUD_CPP_LIST","Y"
37,"XHB_REF_CRACKED_EFFECTIVE","AUD_REF_CRACKED_EFFECTIVE","Y"
38,"XHB_CPP_FORMATTING","AUD_CPP_FORMATTING","Y"
39,"XHB_CPP_FORMATTING_MERGE","AUD_CPP_FORMATTING_MERGE","Y"
40,"XHB_CPP_STAGING_INBOUND","AUD_CPP_STAGING_INBOUND","Y"
41,"XHB_PDDA_MESSAGE","AUD_PDDA_MESSAGE","Y"
42,"XHB_REF_PDDA_MESSAGE_TYPE","AUD_REF_PDDA_MESSAGE_TYPE","Y"
43,"XHB_PDDA_DL_NOTIFIER","AUD_PDDA_DL_NOTIFIER","Y"
44,"XHB_DISPLAY_STORE","AUD_DISPLAY_STORE","Y"
